alkane paraffin acyclic,saturated,hydrocarbon
carbon atoms,arranged,structure carbon
alkanes,range,case
alkanes,range,molecules
IUPAC defines,alkanes,carbon atoms
acyclic,branched,formula
sources,use,term denote
sources,use,hydrocarbon
bonds hydrogen atom,joined,carbon atoms
series,linked,molecule
number carbon atoms,may considered,size alkane
compounds members,differ,mass multiples
They,viewed,trees
They,abbreviated,R
Alk,used,symbolize
group,called,cycloalkanes
hydrocarbons,combine,formula
Alkanes,arranged,ways
carbon atoms,arranged,chain branches
isomer,called,nisomer
chain carbon atoms,branched,points
isomers,increases,number carbon atoms
alkane isomers chain carbon atoms,may form,loops
compounds,called,cycloalkanes
compounds,excluded,calculating
hydrocarbon chains,named,prefix
hydrocarbon chains,named,suffix
find,compounds,IUPAC name
prefixes convention,includes,brackets
Numbers,name,referring
name,omitted,compounds
name,omitted,sidegroup
cases,straightchain,branchedchain isomers
difference properties,straightchain,branchedchain isomers
members series,follows,names
carbon atom count,ending,example
carbon atom count,ending,use
IUPAC naming conventions,used,produce
class hydrocarbons,referred,alkanes
cycloalkanes,prefix,alkanes
pentane,joined,ring
cycloalkanes,stated,substituents
ring,stated,substituents
name,alkanes,paraffins
names,retained,due
Cycloalkanes,called,naphthenes
paraffin,stems,petrochemical industry
Branchedchain alkanes,called,isoparaffins
term,distinguish,compounds
names,retained,IUPAC system
names,used,alkanes
names,used,colorless
Alkanes,experience,der Waals forces
Waals forces,give,rise
Waals forces,give,points alkanes
CH4 C4H10,alkanes,C18H38 solids
point alkanes,determined,surprise boiling point
point alkanes,determined,size molecule
rule thumb boiling point,rises,20–30
chain rule,applies,series
°C 22dimethylbutane 23dimethylbutane,boil,C
lock,crossshaped,der Waals forces
cycloalkanes,tend,boiling points
linear counterparts,give,plane
linear counterparts,give,contact
conformations molecules,give,plane
conformations molecules,give,contact
points,follow,points reason
alkanes,follow,points reason
structure,requires,energy break
phase,requires,break
packing structure,requires,break
Alkanes,conduct,electricity way
Alkanes,conduct,field
individual water molecules,aligned,alkane molecule coexistence
alkane water,leads,increase
reduction entropy,minimized,minimizing
contact alkane water Alkanes,said,repel water
number carbon atoms,remains,water
structure alkanes,affects,chemical characteristics
It,derived,valence electrons
orbitals,derived,combination
they,arranged,°
formulae,represent,bonds
arrangement,described,molecule
torsion angle,given,hydrogen atom
carbon,vary,°
conformation,staggered,conformation
energy,staggered,conformation
energy,eclipsed,conformation
time,taken,molecule
alkanes,shown,diagrams models
structure,differ,differences energy conformations
molecules Alkane molecules,fixed,form
compounds,contain,carbon
hydrogen bonds,show,features
spectroscopic,features,group
carbon,gives,absorption
carbon stretching mode,absorbs,1300
methyl groups,show,bands
carbon atoms,show,absorption
resonances alkanes,found,δH
carbon13 resonances,depend,number hydrogen atoms
carbon chain,cleaved,quaternary carbons
fragments,spaced,units
alkanes,estimated,range
protonate,give,hypercoordinate alkanium ions
radicals,react,electronrich bonds
alkane molecules,remained,years
reactions alkanes,converted,alkanes
Reaction oxygen,leads,combustion
halogenation reactions,occur,production haloalkanes
alkanes,shown,bind
alkanes,shown,C
bond angle,may differ,value order
hindrance,increase,reactivity
explanations,alkanes,possibilities
alkanes,react,combustion reaction
alkanes,increases,kJmol
Branchedchain,alkanes,values
alkanes number carbon atoms,seen,stable
Alkanes,react,halogens
atoms alkane,replaced,halogen atoms
reaction,leads,mixture products
halogenation,produces,mixture
mixture,replaced,due
hydrogen atoms,replaced,due
example,seen,monobromination propane
This,done,method
process,follows,formation freeradicals
acid catalysts,promote,breakage bonds
regenerated,proceed,chain mechanism
chain reactions,terminated,ion recombination
reformation alkanes,become,hydrocarbons
processes,raise,octane number substance
put process isomerization,makes,octane numbers
presence nickel catalyst,give,hydrogen
reactions,require,conditions
fermentation,alkanes,importance
Nucleophilic Abstraction,used,alkane metal
Alkyl groups,transferred,compound
portion,atmospheres,gas planets
s atmosphere,rains,methane
Cassini mission,imaged,methaneethane lakes
Methane ethane,detected,Hyakutake
Chemical analysis,showed,abundances
ices,formed,space
Sun,would evaporated,molecules
Alkanes,detected,chondrites
s atmosphere,produced,microorganisms Archaea gut ruminants
sources,alkanes,gas oil
gas,contains,liquid alkanes hydrocarbons
seas,converted,form
gas,resulted,example
hydrocarbon deposits,collected,rocks
cap rocks,comprise,oil fields
They,formed,years
Methane,called,animals
clathrate fields,exceeds,natural gas oil deposits
Acyclic alkanes,occur,nature
alkanes,prefer,carbon chains
methane metabolism carbon dioxide,oxidized,compounds
gas wetlands,release,tonnes methane
They,produce,alkanes
They,produce,intestines
cycle carbon,released,photosynthesis
gas,formed,way
Alkanes,play,role
Alkanes,play,role biology
resinae prefers,longerchain,alkanes aviation fuel
They,protect,loss prevent
atoms length,made,fatty acids
layer wax speciesdependent changes,season,factors
alkanes,produced,plant tissues
Jeffrey pine,noted,producing
nheptane resin reason distillate,designated,octane rating
ethane pentane hexane plants,documented,levels
vegetable oils,contain,spectrum carbon numbers
vegetable oils,contain,35
vegetable oils,contain,fraction
Alkanes,found,animal products
messenger materials insects,depend,communication
morsitans pheromone,contains,alkanes
acts,smell,distances
honey bees,produce,release
plant animal alkanes,play,relationship
plant animal alkanes,play,pollination
Sand bees,use,order
Sand bees,use,identify
tricosane pentacosane heptacosane ratio,attracted,odor
orchid,takes,advantage mating arrangement
flower resemble appearance sand bees,produce,quantities
flower resemble appearance sand bees,produce,sand bees
males,lured,attempt copulate imaginary partner
transfer pollen,dispersed,blooms
Alkanes,separated,distillation
